DANE,municipio,altitude_min,altitude_max,altitude_mean,gradient_altitude,altitude_centroid
25151,CÁQUEZA,1346,3094,1918,1748,1735
25154,CARMEN DE CARUPA,2206,3742,3110.3,1536,3009
25168,CHAGUANÍ,204,2030,673.6,1826,1100
25175,CHÍA,2544,2970,2662.6,426,2552
25178,CHIPAQUE,1819,3854,2953.7,2035,2372
25181,CHOACHÍ,1575,3739,2729,2164,1913
25183,CHOCONTÁ,2686,3337,2951.4,651,2766
25200,COGUA,2561,3508,3104.9,947,2795
25214,COTA,2540,2921,2569.5,381,2562
25224,CUCUNUBÁ,2541,3089,2854,548,2638
25245,EL COLEGIO,620,2745,1314.4,2125,1556
25258,EL PEÑÓN,925,1693,1184.1,768,1346
25260,EL ROSAL,2287,2929,2615.1,642,2632
25269,FACATATIVÁ,2556,3015,2656.3,459,2708
25279,FÓMEQUE,1408,3760,2563.3,2352,3073
25281,FOSCA,1658,3433,2672.6,1775,1951
25286,FUNZA,2544,2569,2551,25,2551
25288,FÚQUENE,2538,3237,2664,699,2744
25290,FUSAGASUGÁ,507,2969,1483.9,2462,1607
25293,GACHALÁ,798,3632,1918.7,2834,1733
25295,GACHANCIPÁ,2554,3108,2732.2,554,2563
25297,GACHETÁ,1638,3337,2447.5,1699,2274
25299,GAMA,1612,3241,2048.7,1629,2781
25307,GIRARDOT,254,792,343.9,538,349
25312,GRANADA,2202,2819,2642.4,617,2454
25317,GUACHETÁ,2538,3541,2720.5,1003,2678
25320,GUADUAS,162,1972,711,1810,925
25322,GUASCA,2565,3697,2905.3,1132,3340
25324,GUATAQUÍ,225,853,435.6,628,496
25326,GUATAVITA,2597,3522,2821.7,925,2838
25328,GUAYABAL DE SÍQUIMA,1046,2305,1627.5,1259,1496
25335,GUAYABETAL,953,3541,2206,2588,1695
25339,GUTIÉRREZ,1344,3796,3096.9,2452,2043
25368,JERUSALÉN,278,1529,711.3,1251,307
25372,JUNÍN,1683,3640,2688,1957,2854
25377,LA CALERA,1973,3634,2925.5,1661,2906
25386,LA MESA,645,1976,1196.2,1331,927
25394,LA PALMA,631,1837,1129.6,1206,1421
25398,LA PEÑA,584,1658,949,1074,773
25402,LA VEGA,849,2570,1329.3,1721,1495
25407,LENGUAZAQUE,2547,3354,2797.5,807,2971
25426,MACHETÁ,1683,3464,2856.2,1781,2064
25430,MADRID,2540,2748,2579.6,208,2559
25436,MANTA,1449,3397,2224.1,1948,1795
25438,MEDINA,377,3666,1206.2,3289,675
25473,MOSQUERA,2537,2744,2564.7,207,2544
25483,NARIÑO,238,974,498.7,736,433
25486,NEMOCÓN,2560,3158,2724.1,598,2572
25488,NILO,275,1806,465.5,1531,348
25489,NIMAIMA,638,1969,1049.2,1331,814
25491,NOCAIMA,807,1654,1057.4,847,1044
25506,VENECIA,1096,3196,2132.5,2100,2187
25513,PACHO,1074,3776,1997.6,2702,1616
25518,PAIME,625,1969,1057.9,1344,923
25524,PANDI,512,2279,1061.2,1767,1302
25530,PARATEBUENO,196,1006,477.1,810,297
25535,PASCA,1945,3905,2981.4,1960,2575
25572,PUERTO SALGAR,150,800,237.8,650,202
25580,PULÍ,423,1826,894.8,1403,871
25592,QUEBRADANEGRA,555,2033,1130.2,1478,920
